Account Statement - (@Casey-Morgan-12) ,,,,,,,,,,,,,,,,,,,,,
Account Activity,,,,,,,,,,,,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (tip),Amount (tax),Amount (fee),Tax Rate,Tax Exempt,Funding Source,Destination,Beginning Balance,Ending Balance,Statement Period Venmo Fees,Terminal Location,Year to Date Venmo Fees,Disclaimer
,,,,,,,,,,,,,,,,$126.23,,,,,
,4331253557814765626,2017-01-01T13:17:20,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4833046493658624697,2017-01-24T20:44:32,Payment,Complete,Dinner,Casey Morgan,Sam Iyer,- $50.06,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4336580206491430003,2017-02-01T19:59:03,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4493499621245508016,2017-02-07T10:53:46,Charge,Complete,Uber home,Jo Park,Casey Morgan,- $65.78,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4089074483370453946,2017-03-01T16:23:24,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4039362160376226426,2017-03-16T09:29:34,Charge,Complete,Bowling,Alex Carver,Casey Morgan,- $29.94,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4105445697266219510,2017-04-01T13:37:24,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4615717671304710698,2017-05-01T08:11:14,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4117412324496428116,2017-05-07T10:09:56,Charge,Complete,Dinner,Sam Iyer,Casey Morgan,- $31.23,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4211522292924163381,2017-06-01T12:24:10,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4144191489987252760,2017-06-05T17:17:09,Charge,Complete,Dinner,Jo Park,Casey Morgan,- $74.10,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4517351981226338994,2017-06-10T14:59:20,Charge,Complete,Beersies,Jo Park,Casey Morgan,- $45.04,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4893470157910161358,2017-07-01T09:44:26,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4035495830416066141,2017-08-01T13:52:08,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4869365349988240515,2017-08-12T20:00:35,Payment,Complete,Beersies,Casey Morgan,Jo Park,- $32.24,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4680925562559417365,2017-08-20T10:50:23,Payment,Complete,Brunch,Casey Morgan,Sam Iyer,- $40.39,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4475705956534622495,2017-09-01T15:44:06,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4032137319585045979,2017-09-06T10:43:51,Charge,Complete,Foodsies,Jo Park,Casey Morgan,- $84.17,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4027788208919351981,2017-09-16T10:41:54,Payment,Complete,Bowling,Casey Morgan,Sam Iyer,- $39.34,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4161267310784037909,2017-09-25T22:51:52,Charge,Complete,Foodsies,Alex Carver,Casey Morgan,- $53.03,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4665076667905250377,2017-10-01T19:31:20,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4469002173263873332,2017-10-03T11:46:57,Charge,Complete,Groceries for the party,Jo Park,Casey Morgan,- $83.81,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4095738535275909626,2017-10-07T11:55:11,Payment,Complete,Beersies,Jo Park,Casey Morgan,+ $23.04,,0,,0,,Venmo balance,,,,,Venmo,,
,4346187159966523860,2017-10-27T15:02:58,Payment,Complete,Dinner,Sam Iyer,Casey Morgan,+ $15.46,,0,,0,,Venmo balance,,,,,Venmo,,
,4295596226611276707,2017-11-01T14:39:56,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4277358716784930289,2017-11-06T12:46:00,Charge,Complete,Tacos,Sam Iyer,Casey Morgan,- $62.30,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4057590926282622442,2017-12-01T08:55:53,Charge,Complete,Rent,Priya Natarajan,Casey Morgan,- $900.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,,,,,,,,,,,,,,,,,$0.00,$0.00,,$0.00,"In case of errors or questions about your electronic transfers, see the Cardholder Agreement (https://venmo.com/legal/cardholder-agreement)."
